"createdAt","body"
"2022-11-09 09:36:04.032536+00","yes, edited"
"2022-11-07 18:44:59.757591+00","```suggestion ```"
"2022-11-08 16:20:59.662478+00","@lcolston08 "
"2022-11-09 09:36:04.032536+00","yes, edited"
"2022-11-02 17:35:11.766522+00","Agree, we can create a util just for this."
"2022-11-02 18:41:11.029451+00","such a boss"
"2022-11-02 18:42:13.48715+00","This prevents the OSX `.DS_Store` from being checked into git."
"2022-11-03 08:13:02.482488+00","Add a description of this page?"
"2022-11-03 20:32:20.188195+00","I changed this to `lab`"
"2022-11-07 16:44:39.554285+00","what's this?"
"2022-11-07 22:01:15.252477+00","```suggestion * Files other than UTF-8 are excluded  ```"
"2022-11-08 01:15:14.019467+00","I tried to reorder this and made proposals below"
"2022-11-08 10:05:24.972697+00","@FaridGitStart delete this empty first line"
"2022-11-08 16:24:24.423394+00","Thanks. Resolving this conversation. "
"2022-11-09 21:52:15.500752+00","this comment should be removed"
"2022-11-11 06:32:25.018098+00","Shouldn't we be using it? Why not?"
"2022-11-02 06:22:17.221404+00","```suggestion # Environment variables ```"
"2022-11-02 16:13:04.910913+00","nit: make `name.split(' ')[0]` a const"
"2022-11-03 20:32:44.411203+00","Updated descriptions to add this info"
"2022-11-03 20:34:10.346852+00","Added this test case"
"2022-11-03 20:34:20.108443+00","Updated descriptions to add this info"
"2022-11-03 20:34:25.721771+00","Updated descriptions to add this info"
"2022-11-03 22:28:37.971393+00","Yes definitely agree! Great catch, thanks JR"
"2022-11-03 22:36:48.611793+00","uh... is this missing `@orthly/critical-path`?  I'm unclear what a name on a line by itself does"
"2022-11-07 22:05:02.835441+00","Are we indexing code from code hosts other than GitHub on dot com?"
"2022-11-08 00:40:24.01431+00","Can the router be placed inside of the ComponentsComposer components list?"
"2022-11-08 07:19:24.291443+00","Is the Sentry significant enough to be included in this list? If yes, better include it as well."
"2022-11-08 07:19:24.370954+00","@murcul-coherent Any information can be provided on this?"
"2022-11-08 16:26:25.088922+00","Nuke empty line 3"
"2022-11-09 08:35:20.12241+00","This TODO is outdated, can you remove it?"
"2022-11-09 11:46:35.722742+00","The output is rather ugly, but surely transparent, so 👍 "
"2022-11-09 21:06:49.944994+00","Are these `#region...` sort of tags a new pattern? 👀 "
"2022-11-10 08:07:33.594139+00","Could you please move these to an ""Open questions"" section?"
"2022-11-11 01:55:26.394822+00","This might be difficult as the DB lives in Amazon, is not instrumented AFAIK"
"2022-11-11 01:55:26.924461+00","They are exposed on staging too: https://fly-metrics.net/d/fly-app/fly-app?orgId=42164&var-app=equanimity-stg"
"2022-11-08 16:49:32.99638+00","Should this be compiler-accurate"
"2022-11-08 16:53:51.569579+00","Updated"
"2022-11-11 01:55:26.568007+00","This is called ""Tracing"". https://en.wikipedia.org/wiki/Tracing_(software)"
"2022-11-11 01:55:26.598971+00","What do you mean by `Ecto query strings by default`?"
"2022-11-11 01:55:26.886121+00","+1 to start with this one"
"2022-11-01 12:39:20.330371+00","switching from peer to regular dep?"
"2022-11-01 16:54:28.801757+00","What's the reason for fetching this as the practice rather than as internal or the lab?"
"2022-11-01 17:23:09.061963+00","Out of curiosity, is there an instance where the response would be `undefined` and need the `?`? It seems like it will always response with an object containing `monitors`. If not, we will have an error and drop into the error handler portion."
"2022-11-01 22:13:29.476753+00","Can we do something to `queryExampleSectionsColumns` doesn't do a server call on dotcom?"
"2022-11-02 09:09:01.947567+00","@sourcegraph/dev-experience the generated PRs from this workflow requires stamp approvals + merge"
"2022-11-01 16:54:34.597816+00","```suggestion                 'should mark an order as ""In Fabrication"" as ops', ```"
"2022-11-01 17:14:45.235937+00","```suggestion - [REVIEW] Review pull request ```"
"2022-11-01 17:55:09.061623+00","https://gfycat.com/welldocumentedevilindianrhinoceros"
"2022-11-02 10:39:16.708346+00","So can I do it if I am an experienced developer, or repo owner or only the project managers? This is not clear to me. "
"2022-11-03 08:41:13.132313+00","@Mjanuary same here "
"2022-11-02 10:39:54.00296+00","Sorry for late review! If this is already protected in the dashboard, it's fine"
"2022-11-02 10:57:27.258439+00","`specs`? Should be `webhooks`, right?"
"2022-11-02 10:57:27.393911+00","Do you need that?"
"2022-11-03 12:11:39.771464+00","Missing empty new line at the end."
"2022-11-03 16:46:12.782468+00","i first read this as ""prioritized sorted please"" map, which is also a good name"
"2022-11-04 01:58:48.842481+00","yes"
"2022-11-04 16:21:07.078745+00","```suggestion // tslint:disable:max-file-line-count ```"
"2022-11-07 07:36:51.446723+00","```suggestion     startGitSlicePull(pull_job: GitSlicePullUpsertOptions!): _some_output ```"
"2022-11-07 15:00:54.2332+00","Lets nuke, we need to resolve eslint errors"
"2022-11-07 15:13:39.08466+00","Add a space above"
"2022-11-07 22:15:30.282628+00","```suggestion GitHub code search does not offer commit diff search or commit message search.  ```"
"2022-11-03 16:46:21.874021+00","lolol"
"2022-11-07 22:25:04.793549+00","We're 100% sure that it's 100% accurate?"
"2022-11-07 22:25:48.79112+00","Should use `setFieldValue` instead so that we don't have to explicitly call `clearValue` every time we call this method."
"2022-11-03 16:46:28.121428+00","nice refactor"
"2022-11-07 22:27:06.118314+00","Not sure if this is a necessary row for the end user  "
"2022-11-07 22:43:40.154199+00","CC @iskyOS "
"2022-11-07 22:43:48.520393+00","cc @iskyOS "
"2022-11-07 22:43:59.770544+00","cc @iskyOS "
"2022-11-07 22:58:44.726654+00","Yes, for example we have repos from http://src.fedoraproject.org/"
"2022-11-07 15:13:39.072505+00","This file won't exists, move your tests and delete it"
"2022-11-08 00:04:12.593025+00","Thanks. This seems to back up the statement about public repos from multiple code hosts. "
"2022-11-08 05:51:31.132679+00","we don't actually use this anywhere - let's get rid of it"
"2022-11-08 08:11:42.999578+00","@murcul-coherent should be in total 7 types of products, seems the ""participating whole life"" product type is missing? "
"2022-11-10 04:49:11.377318+00","Was there a clear owner/incident commander at this point?"
"2022-11-10 04:49:11.388554+00","Good to have a template for this"
"2022-11-10 08:13:14.328041+00","I added the open questions section, and am also keeping this here to ensure they get answered."
"2022-11-10 16:24:29.123299+00","missing other metadata"
"2022-11-10 18:00:13.267226+00","Maybe I misunderstood how to read those constraints but I thought it would mean 1.1 and any above lol "
"2022-11-11 02:35:40.670261+00","```suggestion - [ ]  **File changes:** This PR is expected to result in ≥ 10 file changes ```"
"2022-11-11 09:07:34.940557+00","Oh I mean the raw SQL queries. Appsignal does record them whereas the PromEx metrics do not"
"2022-11-11 10:39:57.102514+00","I have added a custom handler in https://github.com/Murcul/equanimity/pull/623"
"2022-11-11 12:42:02.331213+00","Nice! I think we cab send those notifications to #platform-engineering-alerts just for our team to monitor"
"2022-11-10 18:00:13.670163+00","If not, I wonder if we shouldn't do that and just say here, use 1.1+"
"2022-11-11 02:35:43.185719+00","The other factors make more sense to me"
"2022-11-10 18:00:14.254844+00","I think this is the default, isn't it? "
"2022-11-10 18:29:36.826999+00","Yep it is. I'll remove this section (thought it was not defaulting to `true`)"
"2022-11-10 16:24:29.655658+00","missing other metadata"
"2022-11-11 09:07:38.015153+00","Grafana just reads data from the metrics PromEx collects. It does not collect anything on its own."
"2022-11-10 17:06:12.973331+00","will add it "
"2022-11-10 17:06:20.180126+00","will add it "
"2022-11-11 01:55:27.096325+00","You meant: `while Grafana does not`?"
"2022-11-11 01:55:28.869055+00","I'm not sure if we are using Swap, if we are not even using a swap partition we can remove this alert"
"2022-11-02 13:26:43.681501+00","Should we add a doc, then? Or change the naming somehow?"
"2022-11-03 08:35:20.749293+00","Revert this line"
"2022-11-10 23:30:15.521211+00","```suggestion     min-width: 45px;     overflow: hidden; ```"
"2022-11-08 15:53:26.237357+00","I'd add a `set -ex` to this, which we use in a lot of scripts: https://sourcegraph.sourcegraph.com/search?q=context%3Aglobal+set+-ex+repo%3Asourcegraph%24&patternType=standard&groupBy=repo  "
"2022-11-10 05:05:42.368876+00","I have added the type, please take a look"
"2022-11-11 03:05:23.443375+00","```suggestion  export async function getStaticProps({ locale }) { ```"
"2022-11-11 12:04:14.762482+00","https://github.com/sourcegraph/sourcegraph/pull/44275"
"2022-11-01 20:25:33.975795+00","Rename and move under the `// Text` section ```suggestion $color-missing-value: #808080; ```"
"2022-11-02 15:13:42.993769+00","Merge main/revert this file to main"
"2022-11-03 08:06:34.81379+00","```suggestion   @spec create_tasks_multi(Ecto.Multi.t(), list(map())) :: Ecto.Multi.t() ```"
"2022-11-03 08:06:34.840587+00","```suggestion   @spec get_task!(pos_integer()) :: Task.t() ```"
"2022-11-03 08:06:35.554322+00","Same here. Import and use relative path"
"2022-11-03 08:35:19.012662+00","Revert this line"
"2022-11-03 16:57:58.951511+00","Update docstring: `Alert Delay` -> `Bucket Count`"
"2022-11-04 09:07:42.490298+00","```suggestion   @spec get_client!(String.t()) :: Client.t()   def get_client!(id), do: Repo.get!(Client, id) ```"
"2022-11-07 08:54:10.957373+00","```suggestion   @type role :: :admin | :user | :internal ```"
"2022-11-07 21:43:48.458546+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion     /* Causes fanout */     -- , labtrac_production_case_steps.stageitemid     -- , labtrac_production_case_steps.pathstepid ``` "
"2022-11-09 23:04:34.824094+00","https://github.com/sourcegraph/sourcegraph/issues/44179"
"2022-11-10 04:11:47.720901+00","```suggestion   @spec get_ticket(pos_integer()) :: {:ok, Ticket.t()} | {:error, :ticket_not_found} ```"
"2022-11-10 07:58:10.812473+00","Can you remove the bang in the `get_pull_request_ticket!` function as well?"
"2022-11-11 12:59:56.082479+00","```suggestion      * The list of ids of photos that were skipped. ```"
"2022-11-02 09:15:04.712479+00","lol"
"2022-11-02 10:10:59.371521+00","> Suggestion use this ![image](https://user-images.githubusercontent.com/2725300/199465481-836eef3a-bbcc-426e-b0a2-f5466e1b41b8.png) "
"2022-11-03 11:46:08.081244+00","Should we have a feature flag / some other kind of toggle for running this (here, on in CleanUp)?"
"2022-11-04 09:05:27.242503+00","```suggestion   @spec list_tasks(map(), pos_integer(), Keyword.t()) :: list(Task.t()) ```"
"2022-11-07 08:58:02.489492+00","@passy4ucj But this [PR](https://github.com/GitStartHQ/client-bluemeg-database-service/pull/4) is not yet merged, this means, this PR will return errors"
"2022-11-04 09:05:28.311199+00","```suggestion   @spec get_total_time_spent_in_minutes(Task.t()) :: non_neg_integer() ```"
"2022-11-07 12:07:38.405114+00","```suggestion         onInputChange={filterByCities} ```"
"2022-11-07 14:20:39.086032+00","Value should be a boolean"
"2022-11-07 14:45:37.107808+00","Your metadata should include all query params"
"2022-11-07 12:32:37.651501+00","Just a frame of reference to debug when multiple stuff is happening simultaneously. 🙂 "
"2022-11-07 14:20:39.323806+00","Value should be an empty array or undefined"
"2022-11-07 14:45:36.104007+00","Space between words  ```suggestion /* Envelope Activities related activity */ ``` "
"2022-11-07 12:39:34.971432+00","@passy4ucj Done!"
"2022-11-08 11:24:59.560934+00","Yes, I was thinking about this too... the `Menu` component doesn't seem to wrap around selection, though maybe that can be configured.  > Additionally, I think that menu makes more sense semantically here than listbox anyway since it's not a form control but a menu that lists options that will cause navigation (if the submission is immediate).  If the submission was immediate I would agree, but it's not. After reading MDN's description:  > A menu generally represents a grouping of common actions or functions that the user can invoke.  I felt that a listbox would be a better fit.  (That's why a11y is hard :-/)  But I don't have strong feelings about this..."
"2022-11-08 21:43:04.551745+00","should we not add a `nexHealthEnabled` var as well? "
"2022-11-08 11:45:08.162484+00","Reverted, thanks for the heads up!"
"2022-11-09 16:13:10.427411+00","```suggestion   @spec list_all_tickets_for_developer_query(pos_integer()) :: Ecto.Query.t() ```"
"2022-11-02 16:26:40.766918+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion FROM source ``` "
"2022-11-02 16:26:41.03332+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion     SELECT * FROM {{ ref('base_segment_marketing_website_fcpid') }} ``` "
"2022-11-02 16:26:41.698411+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion FROM source ``` "
"2022-11-04 09:45:47.712492+00","Not running in frontend is IMO the way to go because otherwise we horizontally scale this routine for no benefit"
"2022-11-07 09:06:34.226444+00","maybe? ```suggestion 			return nil, errors.Wrap(err, ""http request failed"") ```"
"2022-11-07 21:50:59.765119+00","tests, sure -- but why should it be static? lol"
"2022-11-08 08:44:39.230194+00","Wrapped error with the repo name is a good idea! Will fix!"
"2022-11-08 16:48:25.81336+00","is there no updated_at field in dialpad users? Will we need to snapshot it?"
"2022-11-08 21:43:44.352342+00","This field serves both purposes. If they have a config it's enabled."
"2022-11-10 14:46:53.076355+00","same here"
"2022-11-11 14:11:49.512481+00","Done."
"2022-11-02 13:26:46.583406+00","this function doesn't seem to return a bool. should the doc be fixed"
"2022-11-02 13:38:36.580777+00","Should have an await"
"2022-11-02 13:38:36.574053+00","Organize your imports in the format we shared earlier, relative imports should come last Format to be https://gitstart.slack.com/archives/C02QH7ZUQBT/p1667213225110949 "
"2022-11-02 14:13:45.597654+00","note here, we are changing the format of the job names.    the new job will simply be called `excavator-pre-release` for instance. "
"2022-11-02 14:18:06.230797+00","```suggestion > NOTE: Repository access over SSH is not yet supported on [Sourcegraph Cloud](../../cloud/index.md). ```  not sure if without the ""space"" would work or not"
"2022-11-02 15:38:44.261286+00","Organize imports"
"2022-11-02 15:38:45.359749+00","Space between import categories"
"2022-11-03 16:48:00.492485+00","did you create the relevant two slack channels?"
"2022-11-03 17:53:51.372374+00","Can we use the page as a prefix here, i.e. `this.deps.opsDashboardSearch`?"
"2022-11-03 17:53:51.645476+00","Nitpick: 'cause this method returns a `JSXString` I believe you can just type this as a self-closing tag, i.e.  ```ts <div id=""search"" /> ```"
"2022-11-03 22:27:42.802502+00","True... `publicEventTypes` Makes sense. "
"2022-11-03 22:56:15.836935+00","I am bad at typing yikes "
"2022-11-03 16:48:20.222489+00","yes :)"
"2022-11-04 06:25:36.057939+00","After looking into https://docs.sourcegraph.com/dev/background-information/workers, I think it is too heavy-lifting (requires a dedicated database table) for a simple clean-up job."
"2022-11-04 08:47:20.524303+00","Let's limit the possible atom that can be passed here  `  @possible_statuses [:draft, :open, :paid, :void, :uncollectible, :deleted]`  Refer to my comment here for guidelines https://github.com/GitStartHQ/client-gitstart-backend/pull/34#discussion_r1012583800"
"2022-11-04 14:58:46.116357+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion , prospects AS (     SELECT * FROM {{ ref('stg_prospect') }} ``` "
"2022-11-04 14:58:46.38839+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion WHERE row_num = 1 ``` "
"2022-11-02 17:24:29.990774+00","@trevorImmunefi this part of the code is because we only want to run this on the client side, correct?"
"2022-11-02 17:25:49.771617+00","This was a poc test. @trevorImmunefi should we delete this one?"
"2022-11-04 14:44:40.509892+00","I think you're right about that. I'll modify this to ensure a 404 is returned."
"2022-11-04 04:39:20.809179+00","Removed this as I think we should not come up with our own kickoff projects through refactor comments/ and instead through conversations. Besides, reimplementing syncers in equanimity is already a project and this will be handled then."
"2022-11-01 17:09:31.911206+00","The problem is you are using un-typed prop, IMO it's pretty the same as the old one `isSelected` un-typed un-documented."
"2022-11-01 12:41:40.672464+00","is there a reason to avoid fetch/axios here?"
"2022-11-01 12:43:23.977988+00","this is a pure function from the perspective of this component and it can be declared outside of the component to avoid unneccesary rerenders/memory usage"
"2022-11-01 12:43:44.412468+00","Yeah, I'd do that. In theory, we should always have the actor ID available, but if there was some kind of background job pruning stale tokens using internal actor the call would crash."
"2022-11-01 13:00:15.141155+00","my bad. switched in back 3f506caeef3b2cd48e1d9d16c9c091dd10fa5856"
"2022-11-01 12:45:26.822471+00","Yep, looking good!"
"2022-11-01 12:51:53.701539+00","Do you think we can take the > 0?"
"2022-11-01 12:53:34.790473+00","I think would be clean, WDYT? ```suggestion       const controlsCount = Object.values(rows).filter(         (argType) => !argType.table?.disable       ).length; ```"
"2022-11-01 12:56:39.762473+00","@JoeWrenn fetch is not supported by IE 11. Sending request via axios throws react-saga related errors. I'll see what can be done for axios."
"2022-11-01 13:04:58.653552+00","@matheusmuniz03 changed it"
"2022-11-01 13:08:31.539028+00","yes. and its tripping up because in AuthenticatedRoute, component is defined as: `component: PropTypes.elementType,`  whereas in TeacherAuthRoute: `component: PropTypes.object,`  Should I just updated the propType?"
"2022-11-01 13:13:38.767673+00","> and should review approval be considered here since it's considered for the ""final design"" flag above?  I've raised this concern with Sana and Ana. They've said they're ok considering some units as multiple times because they still wanted units that weren't sent to a lab/delivered but had a QC approved design to be paid out on.   QC also happens much faster than lab acceptance or delivery, and they want to payout sooner / know sooner for capacity model.  Since you're out and we want to get this merged for today, I'm merging, however I'm happy to further discuss if you have more concerns"
"2022-11-01 13:31:52.519462+00","You're right about that. I should change the docstring to reflect that. It's the list of authz providers that will be used in any query coming from the frontend to determine if the user has access or not. "
"2022-11-01 13:37:04.139287+00","For the purposes of this test, we only care about the list of authz providers used in the frontend. The flakiness was happening when the list wasn't yet updated there, and we were bypassing any authz checking entirely in that case (which happened about 1 in 10 times)"
"2022-11-01 13:39:07.819184+00","This new gql api is basically the equivalent of the repo-updater debug endpoint that you posted, just for the frontend. The state of the authz providers list could potentially differ between the two for a few seconds, causing test flakiness if we try to use the endpoint from repo-updater."
"2022-11-01 13:42:23.16665+00","this is what is set on dotcom, so wanted to be more explicit about it "
"2022-11-01 13:43:00.978381+00","If our test cases are targeting the read path (checking perms), totally on board with the approach in the PR. I couldn't really in detail anymore though, if this set of test setup expects the background perms syncing to do anything (if not, then good!)."
"2022-11-01 13:44:21.23225+00","Note: no intention to block the PR, purely jumping on for discussions 😛 "
"2022-11-01 14:16:27.80043+00","oops - this shouldn't be here"
"2022-11-01 14:30:09.642474+00","I appreciate your comments! 🙏 "
"2022-11-01 14:54:29.416256+00","not concurrently? "
"2022-11-01 14:54:42.610526+00","It's smol, already created it on cloud no issue."
"2022-11-01 14:56:51.592491+00","@karimsa @A1Liu please give the change here a look when you have a chance"
"2022-11-01 14:57:48.259323+00","Updated to avoid this in https://github.com/ChalkTalk/chalktalk-react-40/pull/3477/commits/b74a9fc4c2a26fe91b74df25970ced57b2cbd583"
"2022-11-01 14:57:59.88982+00","Added the proptype here: https://github.com/ChalkTalk/chalktalk-react-40/pull/3477/commits/b74a9fc4c2a26fe91b74df25970ced57b2cbd583"
"2022-11-01 15:02:55.818415+00","I suppose this is here because we're still in draft, just a friendly reminder that if we were to make this PR ready for review, we should explain why we're commenting those. "
"2022-11-01 15:02:55.987149+00","WIP ? "
"2022-11-01 15:02:56.130486+00","TIL this works. Totally makes sense when you think about it. "
"2022-11-01 15:02:56.77269+00","`TrimLeft` and `TrimPrefix` have different semantics, is that what we want there? What prompted to fix this?   For example, if the input string is `""""foo` the old code would return `foo` whereas the new code returs `""foo`.   https://go.dev/play/p/Dkntpfg7qQ3"
"2022-11-01 15:02:56.83932+00","Oh, that sounds like a bug. How did you catch this? "
"2022-11-01 15:02:56.913677+00","Why do we need this?"
"2022-11-01 15:02:59.172509+00","The previous code was effectively duplicating the client, the new code is modifying a global, which may have unintended consequences. Was this brought by a linter? "
"2022-11-01 15:02:59.244493+00","If we're returning a slice, why don't we return nil?"
"2022-11-01 15:02:59.972493+00","Why is the new code working? Does create and attach does this on its own?"
"2022-11-01 15:04:38.183995+00","Yeah it was, and that is a good point! I was wondering why it did that. GREAT CATCH! "
"2022-11-01 15:05:25.637963+00","yip ... already fixed. Will fix in next push!"
"2022-11-01 15:07:20.242469+00",":( how about the case we use model without `id` prop? Where did you get this `id` prop?"
"2022-11-01 15:07:16.980593+00","I was also puzzled but the explanatio made sense to me: https://staticcheck.io/docs/checks/#SA1024"
"2022-11-01 15:16:49.672474+00","<img width=""437"" alt=""Screenshot 2022-10-31 at 18 42 12"" src=""https://user-images.githubusercontent.com/1001709/199268441-e4557772-8cb3-4bc7-b1d1-6268b1400f71.png""> "
"2022-11-01 17:23:09.542329+00","```suggestion      * Lists all auto measure subscriptions in the user's project.      *      * @returns A Promise that resolves with a list of all auto measure subscriptions. ```"
"2022-11-01 15:08:22.83434+00","I couldn't figure out how to do this for a single client so I just [beat all clients into submission](https://github.com/sourcegraph/sourcegraph/pull/43649/files#diff-f5bd0ec043180a518c5e040c8d8c4f83331edea600ed6c8bf98a7ba91f07de7fR67) lol  I will reuse this 🎉 "
"2022-11-01 15:14:37.132481+00","Hahahahah! You know. I went through that EXACT same thought process"
"2022-11-01 15:17:22.052485+00","![6z3xxw](https://user-images.githubusercontent.com/1001709/199268688-b9171a12-fc15-489d-bfb7-65d1a8e04dfa.jpg) "
"2022-11-01 15:19:46.898247+00","Just to check my understanding here, this change means generated queries can return duplicate results now?"
"2022-11-01 15:32:13.467474+00","This was the lint error for this line https://staticcheck.io/docs/checks/#SA4001"
"2022-11-01 15:25:12.269732+00","in the WalkDirFunc, an `error` is being passed in and the function overrides that error"
"2022-11-01 15:41:44.369165+00"," So I asked in the code-insights team about it, because the linter complained initially about a array that was being appened to but not used. When I removed the array, all what was left was the `c` var and it was also unused. Long story short, the code-insights team says it is ok to ignore."
"2022-11-01 15:14:05.907443+00","https://go.dev/play/p/oIJugDQH99g"
"2022-11-01 15:56:35.889529+00"," it follows what the method does earlier see https://sourcegraph.com/github.com/sourcegraph/sourcegraph/-/blob/enterprise/internal/insights/store/store.go?L187"
"2022-11-01 17:46:39.102491+00","😡 "
"2022-11-01 16:00:18.154042+00","This check is correct, a user with Manage permission can also read and envelope"
